trial,family,mean_mae,worst_mae,mean_mse,mae_A,mae_B,mae_C,mse_A,mse_B,mse_C,best_epoch_A,best_epoch_B,best_epoch_C,window,hidden_dim,num_layers,dropout,kernel_size,scaler,lr,batch_size,weight_decay,lr_scheduler,k_max,p_max,input_noise_sigma
84,tcn,26.183896354101602,35.52076551038772,1219.7028116284116,35.52076551038772,24.74456984460354,18.286353707313538,2052.263712246914,917.8719597781112,688.9727628602097,15,30,5,40,64,2,0.1632766831802383,3,minmax_0_1,0.0010168802855232226,64,2.6020213260519366e-06,plateau,5,0.5,0.02
85,tcn,29.1651562852785,37.29242915641517,1700.2392883405776,37.29242915641517,25.18626473337412,25.016774966046214,3112.5183775923647,974.2745914636877,1013.9248959656809,90,60,80,75,64,2,0.2473033272043073,3,minmax_neg1_1,0.001003635364924379,32,4.1897021159011354e-05,onecycle,5,0.25,0.0
86,tcn,22.594971919891734,32.36529633428901,1046.6882602188964,32.36529633428901,17.469611068218946,17.950008357167246,1908.48312504676,607.2669966232136,624.3146589867152,45,35,5,40,64,1,0.2758057485106289,3,minmax_0_1,0.001270535390700368,64,1.6154263830885329e-06,plateau,5,0.5,0.0
87,tcn,24.451221259000402,26.81030352268368,1084.0656682216893,26.81030352268368,23.797785671055316,22.745574583262204,1472.7051636775102,878.0841474725396,901.4076935150176,20,70,20,40,128,1,0.2893696487062939,3,minmax_0_1,0.0011040213034414772,64,1.7411472143204352e-06,plateau,10,0.5,0.01
88,tcn,25.7236503812174,36.236675141900776,1173.298726782729,36.236675141900776,23.238069150298834,17.69620685145259,1926.0300873481472,959.2203183784662,634.645774621574,30,25,5,50,64,1,0.34401994525537555,3,minmax_0_1,0.0021960694265877054,64,1.0960446337849618e-05,plateau,5,0.5,0.0
89,tcn,30.533584517477113,36.52747189862901,1354.101656567474,36.52747189862901,25.992429617109366,29.080852036692967,1900.5815865946852,983.4726636242702,1178.2507194834666,180,85,5,40,64,1,0.23263959172655554,3,standard,0.0016428207012375577,64,3.3857002534562395e-06,plateau,5,0.5,0.0
90,tcn,26.338320114004116,34.84337353825569,1343.3922631916305,34.84337353825569,25.72416209578514,18.447424707971514,2302.964400203019,942.480114134569,784.7322752373038,145,45,10,40,32,2,0.2989752802611543,3,minmax_neg1_1,0.0006878855037126922,32,2.5003628040326828e-06,plateau,5,0.25,0.0
91,tcn,37.32909976775448,54.3753766091913,2570.5827237861536,32.535960857644675,25.07596183642745,54.3753766091913,2086.8491088165515,925.4638194167756,4699.435243125133,195,25,145,75,128,2,0.32037232395264775,3,minmax_0_1,0.00115637066971053,16,2.272719113547703e-06,onecycle,5,0.25,0.0
92,tcn,20.6049452273796,22.505388121902943,893.6173635492574,21.40396453998983,22.505388121902943,17.905483020246027,1032.0483929418194,979.4100622491268,669.3936354568261,150,60,5,50,128,2,0.29566991028730183,3,minmax_0_1,0.0006175562271998917,64,2.6071957644458202e-06,plateau,5,0.5,0.0
93,tcn,20.49372122950852,22.600825594216584,760.6394734094665,20.071862849369644,22.600825594216584,18.808475244939327,760.0661723703815,827.1772906090503,694.6749572489675,185,120,5,25,128,2,0.38150312277636456,3,minmax_0_1,0.0007089386605536842,64,3.719413314360246e-06,plateau,3,0.5,0.005
95,tcn,25.439835091332593,28.246485108435152,1329.05167785841,28.246485108435152,25.236318475008012,22.83670169055462,2132.999027186697,992.7952589806685,861.3607474078646,185,5,40,50,128,2,0.27161129102060916,3,minmax_0_1,0.0007917209202526113,64,4.0868987587590675e-06,plateau,5,0.5,0.0
97,tcn,26.138426962470017,34.33541929356754,1332.0604381602527,34.33541929356754,25.330076815485953,18.749784778356553,2199.976136460787,1074.3781607111023,721.8270173088686,50,5,5,25,64,2,0.37371098213807974,3,minmax_0_1,0.0007784280475616272,64,3.202746903064196e-05,plateau,3,0.5,0.02
98,tcn,24.960328247224293,33.919822273775935,1117.6475167116976,33.919822273775935,22.621222936064004,18.339939531832933,1911.1728552303396,817.7034234398961,624.0662714648569,40,130,5,40,64,1,0.32035530398082157,3,minmax_0_1,0.0009569227055216775,64,2.6267846490723977e-06,plateau,7,0.5,0.0
