12:12:21 [INFO] device=cuda  family=lstm  variant=all_tricks  seeds=[0, 1, 2]  epochs=200  anneal=150  out=C:\Users\renat\OneDrive\Desktop\faks\Utrecht\Deep Learning\DeepLearningAssignment1\experiments\baselines\milestone5_lstm_all_tricks
12:12:47 [INFO] epoch   15  train_loss=0.03880  val_mae= 19.539  val_mse=  492.85  best_mae= 19.252@e5  bad=2/30
12:12:47 [INFO] epoch   20  train_loss=0.03349  val_mae= 19.372  val_mse=  501.63  best_mae= 19.252@e5  bad=3/30
12:12:48 [INFO] epoch   25  train_loss=0.01440  val_mae= 19.564  val_mse=  522.77  best_mae= 19.252@e5  bad=4/30
12:12:48 [INFO] epoch   30  train_loss=0.01093  val_mae= 30.940  val_mse= 1419.96  best_mae= 19.252@e5  bad=5/30
12:12:48 [INFO] epoch   35  train_loss=0.00637  val_mae= 23.444  val_mse=  824.15  best_mae= 19.252@e5  bad=6/30
12:12:49 [INFO] epoch   40  train_loss=0.00490  val_mae= 31.892  val_mse= 1853.83  best_mae= 19.252@e5  bad=7/30
12:12:49 [INFO] epoch   45  train_loss=0.00370  val_mae=  8.554  val_mse=  135.47  best_mae=  8.554@e45  bad=0/30
12:12:50 [INFO] epoch   50  train_loss=0.00400  val_mae= 15.042  val_mse=  392.33  best_mae=  8.554@e45  bad=1/30
12:12:50 [INFO] epoch   55  train_loss=0.00488  val_mae= 15.319  val_mse=  384.42  best_mae=  8.554@e45  bad=2/30
12:12:50 [INFO] epoch   60  train_loss=0.00394  val_mae= 23.780  val_mse= 1453.95  best_mae=  8.554@e45  bad=3/30
12:12:51 [INFO] epoch   65  train_loss=0.00314  val_mae= 17.825  val_mse=  460.09  best_mae=  8.554@e45  bad=4/30
12:12:52 [INFO] epoch   70  train_loss=0.00215  val_mae= 18.617  val_mse=  664.46  best_mae=  8.554@e45  bad=5/30
12:12:52 [INFO] epoch   75  train_loss=0.00318  val_mae= 11.274  val_mse=  195.35  best_mae=  8.554@e45  bad=6/30
12:12:53 [INFO] epoch   80  train_loss=0.00269  val_mae= 10.230  val_mse=  218.15  best_mae=  8.554@e45  bad=7/30
12:12:53 [INFO] epoch   85  train_loss=0.00211  val_mae= 13.063  val_mse=  296.05  best_mae=  8.554@e45  bad=8/30
12:12:54 [INFO] epoch   90  train_loss=0.00141  val_mae= 10.537  val_mse=  195.85  best_mae=  8.554@e45  bad=9/30
12:12:54 [INFO] epoch   95  train_loss=0.00136  val_mae=  8.280  val_mse=  121.93  best_mae=  8.280@e95  bad=0/30
12:12:55 [INFO] epoch  100  train_loss=0.00142  val_mae=  8.782  val_mse=  155.69  best_mae=  8.280@e95  bad=1/30
12:12:55 [INFO] epoch  105  train_loss=0.00139  val_mae= 18.674  val_mse=  612.61  best_mae=  8.280@e95  bad=2/30
12:12:56 [INFO] epoch  110  train_loss=0.00093  val_mae= 10.433  val_mse=  212.78  best_mae=  8.280@e95  bad=3/30
12:12:57 [INFO] epoch  115  train_loss=0.00077  val_mae= 12.927  val_mse=  326.82  best_mae=  8.280@e95  bad=4/30
12:12:57 [INFO] epoch  120  train_loss=0.00064  val_mae= 11.103  val_mse=  293.21  best_mae=  8.280@e95  bad=5/30
12:12:58 [INFO] epoch  125  train_loss=0.00067  val_mae= 12.088  val_mse=  292.98  best_mae=  8.280@e95  bad=6/30
12:12:59 [INFO] epoch  130  train_loss=0.00073  val_mae= 16.102  val_mse=  484.90  best_mae=  8.280@e95  bad=7/30
12:12:59 [INFO] epoch  135  train_loss=0.00076  val_mae= 21.030  val_mse=  752.13  best_mae=  8.280@e95  bad=8/30
12:13:00 [INFO] epoch  140  train_loss=0.00071  val_mae= 22.013  val_mse=  846.35  best_mae=  8.280@e95  bad=9/30
12:13:01 [INFO] epoch  145  train_loss=0.00059  val_mae=  7.446  val_mse=   93.17  best_mae=  7.446@e145  bad=0/30
12:13:02 [INFO] epoch  150  train_loss=0.00043  val_mae=  7.740  val_mse=  100.98  best_mae=  7.446@e145  bad=1/30
12:13:03 [INFO] epoch  155  train_loss=0.00049  val_mae=  9.893  val_mse=  159.06  best_mae=  7.446@e145  bad=2/30
12:13:04 [INFO] epoch  160  train_loss=0.00053  val_mae= 15.300  val_mse=  434.60  best_mae=  7.446@e145  bad=3/30
12:13:05 [INFO] epoch  165  train_loss=0.00046  val_mae=  8.709  val_mse=  128.45  best_mae=  7.446@e145  bad=4/30
12:13:06 [INFO] epoch  170  train_loss=0.00040  val_mae=  8.186  val_mse=  114.90  best_mae=  7.446@e145  bad=5/30
12:13:07 [INFO] epoch  175  train_loss=0.00038  val_mae=  8.569  val_mse=  120.80  best_mae=  7.446@e145  bad=6/30
12:13:08 [INFO] epoch  180  train_loss=0.00043  val_mae= 10.255  val_mse=  171.18  best_mae=  7.446@e145  bad=7/30
12:13:08 [INFO] epoch  185  train_loss=0.00038  val_mae=  8.897  val_mse=  130.76  best_mae=  7.446@e145  bad=8/30
12:13:09 [INFO] epoch  190  train_loss=0.00035  val_mae=  9.150  val_mse=  136.83  best_mae=  7.446@e145  bad=9/30
12:13:10 [INFO] epoch  195  train_loss=0.00043  val_mae=  8.278  val_mse=  115.60  best_mae=  7.446@e145  bad=10/30
12:13:11 [INFO] epoch  200  train_loss=0.00045  val_mae=  8.804  val_mse=  128.13  best_mae=  7.446@e145  bad=11/30
12:13:11 [INFO]   test MAE=36.419  MSE=3614.65  NMSE=1.8206  best@e145
12:13:11 [INFO] 
--- holdout A  seed 2 ---
12:13:11 [INFO] epoch    5  train_loss=0.04636  val_mae= 22.597  val_mse=  880.95  best_mae= 22.597@e5  bad=0/30
12:13:11 [INFO] epoch   10  train_loss=0.03989  val_mae= 19.449  val_mse=  497.94  best_mae= 19.449@e10  bad=0/30
12:13:12 [INFO] epoch   15  train_loss=0.03960  val_mae= 19.355  val_mse=  507.90  best_mae= 19.355@e15  bad=0/30
12:13:12 [INFO] epoch   20  train_loss=0.03848  val_mae= 19.403  val_mse=  501.29  best_mae= 19.355@e15  bad=1/30
